Model,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,Avg_time_per_sample,Model_params_millions
facebook/bart-large-cnn,0.23227596708260015,0.11007758959561183,0.20020597348205493,0.03056766986384162,0.4542129707336426,406.0
google/pegasus-xsum,0.25334353707541835,0.11345040615942774,0.22023290058049888,0.03885039728946765,0.6125242257118225,568.0
philschmid/bart-large-cnn-samsum,0.17422438304178794,0.07954693982206168,0.15204613834353184,0.025272875420702792,0.44045537996292117,406.0
t5-small,0.20577419856188275,0.09001995956882924,0.17887463640479723,0.021019256387476256,0.39397564601898194,60.0
t5-base,0.22457896864896137,0.0968769924335178,0.1914018697099336,0.022023339940396364,0.6582599737644196,220.0
google/flan-t5-base,0.3296791372363993,0.1977306173962512,0.30161995852503176,0.06197088435697872,0.5885718302726746,250.0
google/flan-t5-large,0.24012096207208844,0.12598833723282993,0.21580437854973575,0.03895084440975868,0.9299417049884796,780.0
