Model,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,Avg_time_per_sample,Model_params_millions
facebook/bart-large-cnn,0.24176686227070576,0.10554314847562063,0.20385902562066782,0.02325784403963303,8.168697548389435,406.0
google/pegasus-xsum,0.25566548140086576,0.10442534257656436,0.2207661284969103,0.02240133234047038,12.014193792819977,568.0
philschmid/bart-large-cnn-samsum,0.25979430251289803,0.11420846505774154,0.21683554005193717,0.02613525877257978,7.587479870796203,406.0
t5-small,0.2198552131021313,0.08983911741660755,0.18666636375658877,0.01669811944264622,1.7904907207489014,60.0
t5-base,0.22752023612494038,0.09402392545504171,0.1941628418883929,0.016995999675156692,5.079520578861237,220.0
google/flan-t5-base,0.31493086198443765,0.14931244787835377,0.275610647610808,0.03664359028038825,4.66129444694519,250.0
google/flan-t5-large,0.2603282819646927,0.11681534417068756,0.22916357394939288,0.03038348765200879,7.018246888160705,780.0
